"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Natalizumab",0.706489368721512,0.91
"Natalizumab",0.724983907861844,0.92
"Natalizumab",0.744841586141747,0.93
"Natalizumab",0.766336338836851,0.94
"Natalizumab",0.789848183457943,0.95
"Natalizumab",0.815934454524126,0.96
"Natalizumab",0.845481007185936,0.97
"Natalizumab",0.880088146969755,0.98
"Natalizumab",0.923444455522247,0.99
"Placebo",0.0080378455736148,0.01
"Placebo",0.0188242351292939,0.02
"Placebo",0.0309445311161613,0.03
"Placebo",0.043987667219028,0.04
"Placebo",0.0577276220922818,0.05
"Placebo",0.0720144991825755,0.06
"Placebo",0.0867385074527077,0.07
"Placebo",0.10181414814324,0.08
"Placebo",0.117172057691546,0.09
"Placebo",0.132754324099484,0.1
"Placebo",0.1485115809183,0.11
"Placebo",0.164401093940782,0.12
"Placebo",0.180385440423995,0.13
"Placebo",0.196431561111002,0.14
"Placebo",0.21251005708353,0.15
"Placebo",0.228594653258336,0.16
"Placebo",0.24466177881346,0.17
"Placebo",0.26069023185258,0.18
"Placebo",0.276660906180377,0.19
"Placebo",0.292556564833153,0.2
"Placebo",0.308361649471881,0.21
"Placebo",0.324062117759024,0.22
"Placebo",0.339645302920527,0.23
"Placebo",0.355099791157549,0.24
"Placebo",0.370415313619435,0.25
"Placebo",0.385582650410163,0.26
"Placebo",0.40059354466094,0.27
"Placebo",0.415440625119838,0.28
"Placebo",0.430117336024921,0.29
"Placebo",0.444617873268149,0.3
"Placebo",0.458937126042783,0.31
"Placebo",0.473070623311252,0.32
"Placebo",0.487014484543574,0.33
"Placebo",0.500765374265866,0.34
"Placebo",0.514320460029797,0.35
"Placebo",0.527677373471125,0.36
"Placebo",0.540834174171824,0.37
"Placebo",0.553789316078132,0.38
"Placebo",0.566541616257876,0.39
"Placebo",0.579090225806149,0.4
"Placebo",0.591434602729821,0.41
"Placebo",0.603574486659326,0.42
"Placebo",0.615509875251375,0.43
"Placebo",0.627241002159165,0.44
"Placebo",0.638768316457743,0.45
"Placebo",0.65009246342174,0.46
"Placebo",0.661214266560991,0.47
"Placebo",0.672134710826792,0.48
"Placebo",0.682854926907909,0.49
"Placebo",0.693376176541045,0.5
"Placebo",0.703699838765422,0.51
"Placebo",0.713827397055516,0.52
"Placebo",0.723760427269894,0.53
"Placebo",0.733500586357506,0.54
"Placebo",0.743049601765868,0.55
"Placebo",0.752409261498208,0.56
"Placebo",0.761581404768989,0.57
"Placebo",0.770567913209163,0.58
"Placebo",0.779370702574164,0.59
"Placebo",0.78799171490893,0.6
"Placebo",0.796432911125169,0.61
"Placebo",0.804696263946642,0.62
"Placebo",0.812783751178336,0.63
"Placebo",0.820697349255113,0.64
"Placebo",0.828439027024493,0.65
"Placebo",0.836010739716802,0.66
"Placebo",0.843414423053665,0.67
"Placebo",0.850651987442787,0.68
"Placebo",0.857725312202813,0.69
"Placebo",0.864636239756661,0.7
"Placebo",0.871386569724709,0.71
"Placebo",0.877978052840201,0.72
"Placebo",0.884412384597665,0.73
"Placebo",0.890691198530324,0.74
"Placebo",0.896816058993453,0.75
"Placebo",0.902788453306038,0.76
"Placebo",0.908609783071294,0.77
"Placebo",0.914281354454929,0.78
"Placebo",0.919804367145266,0.79
"Placebo",0.925179901646371,0.8
"Placebo",0.930408904457241,0.81
"Placebo",0.935492170556484,0.82
"Placebo",0.940430322427392,0.83
"Placebo",0.945223784599441,0.84
"Placebo",0.949872752312814,0.85
"Placebo",0.954377152374879,0.86
"Placebo",0.958736593477763,0.87
"Placebo",0.962950302026788,0.88
"Placebo",0.967017037616947,0.89
"Placebo",0.970934979196288,0.9
"Placebo",0.974701567742827,0.91
"Placebo",0.978313282115715,0.92
"Placebo",0.981765307744611,0.93
"Placebo",0.985051024196364,0.94
"Placebo",0.98816116552727,0.95
"Placebo",0.991082335495112,0.96
"Placebo",0.993794087667038,0.97
"Placebo",0.996262182188251,0.98
"Placebo",0.998417911126191,0.99
