"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Glatiramer Acetate",0.999846841130883,0.9
"Glatiramer Acetate",0.999919465751352,0.91
"Glatiramer Acetate",0.999960435892288,0.92
"Glatiramer Acetate",0.99998217099747,0.93
"Glatiramer Acetate",0.999992825809639,0.94
"Glatiramer Acetate",0.999997527570562,0.95
"Glatiramer Acetate",0.999999319491004,0.96
"Glatiramer Acetate",0.99999986877475,0.97
"Glatiramer Acetate",0.999999986787944,0.98
"Glatiramer Acetate",0.999999999728225,0.99
"Natalizumab",2.30368967981759e-13,0.01
"Natalizumab",1.06740648562563e-11,0.02
"Natalizumab",1.030504128122e-10,0.03
"Natalizumab",5.23635020212934e-10,0.04
"Natalizumab",1.87237249075892e-09,0.05
"Natalizumab",5.36195570860821e-09,0.06
"Natalizumab",1.31763133723053e-08,0.07
"Natalizumab",2.89532672045324e-08,0.08
"Natalizumab",5.8422208490489e-08,0.09
"Natalizumab",1.10234917954472e-07,0.1
"Natalizumab",1.97036460592492e-07,0.11
"Natalizumab",3.36833805298187e-07,0.12
"Natalizumab",5.54732892737808e-07,0.13
"Natalizumab",8.85130842318786e-07,0.14
"Natalizumab",1.3744695085094e-06,0.15
"Natalizumab",2.08468047675586e-06,0.16
"Natalizumab",3.0974808255697e-06,0.17
"Natalizumab",4.51971480257024e-06,0.18
"Natalizumab",6.4899804863556e-06,0.19
"Natalizumab",9.18683441112976e-06,0.2
"Natalizumab",1.28389333434646e-05,0.21
"Natalizumab",1.77375538055081e-05,0.22
"Natalizumab",2.42520301180402e-05,0.23
"Natalizumab",3.28487751407739e-05,0.24
"Natalizumab",4.41147000515421e-05,0.25
"Natalizumab",5.87860373194958e-05,0.26
"Natalizumab",7.77838030679776e-05,0.27
"Natalizumab",0.000102257421973481,0.28
"Natalizumab",0.000133638393011918,0.29
"Natalizumab",0.00017370631430125,0.3
"Natalizumab",0.000224670130588894,0.31
"Natalizumab",0.000289268143147336,0.32
